Time (s),Pressure (mmHg)
17.460,96.452
17.470,96.486
17.480,96.372
17.490,96.258
17.500,96.241
17.510,96.420
17.520,96.458
17.530,96.637
17.540,96.857
17.550,97.055
17.560,97.494
17.570,97.845
17.580,98.170
17.590,98.672
17.600,98.816
17.610,99.157
17.620,99.250
17.630,99.140
17.640,98.820
17.650,98.493
17.660,98.148
17.670,97.600
17.680,97.064
17.690,96.647
17.700,96.147
17.710,95.802
17.720,95.554
17.730,95.305
17.740,95.115
17.750,95.055
17.760,95.009
17.770,94.953
17.780,94.865
17.790,95.014
17.800,95.004
17.810,94.948
17.820,95.029
17.830,95.103
17.840,94.982
17.850,95.229
17.860,95.085
17.870,95.050
17.880,94.989
17.890,94.895
17.900,94.830
17.910,94.639
17.920,94.550
17.930,94.392
17.940,94.156
17.950,93.950
17.960,93.841
17.970,93.722
17.980,93.545
17.990,93.295
18.000,93.180
18.010,93.091
18.020,92.901
18.030,92.786
18.040,92.770
18.050,92.590
18.060,92.569
18.070,92.362
18.080,92.381
18.090,92.328
18.100,92.277
18.110,92.097
18.120,92.009
18.130,91.970
18.140,91.948
18.150,91.910
18.160,91.738
18.170,91.724
18.180,91.538
18.190,91.565
18.200,91.570
18.210,91.521
18.220,91.346
18.230,91.193
18.240,91.231
18.250,91.156
18.260,91.177
18.270,91.087
18.280,90.991
18.290,90.960
18.300,90.903
18.310,90.756
18.320,90.684
18.330,90.706
18.340,90.744
18.350,90.891
18.360,90.981
18.370,91.188
18.380,91.452
18.390,91.652
18.400,92.103
18.410,92.401
18.420,92.877
18.430,93.126
18.440,93.399
18.450,93.590
18.460,93.609
18.470,93.327
18.480,93.073
18.490,92.715
18.500,92.240
18.510,91.638
18.520,91.182
18.530,90.682
18.540,90.343
18.550,90.030
18.560,89.805
18.570,89.611
18.580,89.547
18.590,89.444
18.600,89.398
18.610,89.306
18.620,89.304
18.630,89.376
18.640,89.522
18.650,89.441
18.660,89.506
18.670,89.436
18.680,89.525
18.690,89.575
18.700,89.440
18.710,89.280
18.720,89.349
18.730,89.191
18.740,89.083
18.750,89.005
18.760,88.814
18.770,88.660
18.780,88.515
18.790,88.296
18.800,88.049
18.810,87.921
18.820,87.796
18.830,87.611
18.840,87.538
18.850,87.336
18.860,87.222
18.870,87.235
18.880,87.079
18.890,86.915
18.900,86.992
18.910,86.937
18.920,86.864
18.930,86.654
18.940,86.607
18.950,86.541
18.960,86.572
18.970,86.469
18.980,86.343
18.990,86.280
19.000,86.244
19.010,86.167
19.020,86.021
19.030,86.088
19.040,86.052
19.050,85.802
19.060,85.806
19.070,85.684
19.080,85.716
19.090,85.533
19.100,85.611
19.110,85.531
19.120,85.462
19.130,85.410
19.140,85.308
19.150,85.252
19.160,85.227
19.170,85.216
19.180,85.342
19.190,85.421
19.200,85.503
19.210,85.696
19.220,86.031
19.230,86.297
19.240,86.500
19.250,87.047
19.260,87.246
19.270,87.420
19.280,87.539
19.290,87.518
19.300,87.440
19.310,87.225
19.320,86.794
19.330,86.558
19.340,85.996
19.350,85.628
19.360,85.172
19.370,84.834
19.380,84.507
19.390,84.256
19.400,83.990
19.410,83.933
19.420,83.881
19.430,83.926
19.440,83.804
19.450,83.733
19.460,83.755
19.470,83.845
19.480,83.852
19.490,83.963
19.500,83.924
19.510,83.795
19.520,83.933
19.530,83.816
19.540,83.819
19.550,83.682
19.560,83.655
19.570,83.477
19.580,83.276
19.590,83.197
19.600,83.034
19.610,82.917
19.620,82.764
19.630,82.654
19.640,82.508
19.650,82.294
19.660,82.180
19.670,82.084
19.680,81.932
19.690,81.919
19.700,81.742
19.710,81.681
19.720,81.543
19.730,81.507
19.740,81.382
19.750,81.404
19.760,81.248
19.770,81.136
19.780,81.074
19.790,81.059
19.800,80.997
19.810,80.917
19.820,80.959
19.830,80.753
19.840,80.690
19.850,80.702
19.860,80.619
19.870,80.422
19.880,80.565
19.890,80.387
19.900,80.303
19.910,80.327
19.920,80.116
19.930,80.169
19.940,80.061
19.950,79.999
19.960,79.933
19.970,79.810
19.980,79.797
19.990,79.739
20.000,79.734
20.010,79.795
20.020,79.948
20.030,79.886
20.040,80.050
20.050,80.260
20.060,80.346
20.070,80.676
20.080,80.962
20.090,81.135
20.100,81.288
20.110,81.400
20.120,81.459
20.130,81.414
20.140,81.225
20.150,80.983
20.160,80.613
20.170,80.199
20.180,79.920
20.190,79.508
20.200,79.279
20.210,78.888
20.220,78.782
20.230,78.633
20.240,78.543
20.250,78.301
20.260,78.366
20.270,78.241
20.280,78.313
20.290,78.338
20.300,78.239
20.310,78.240
20.320,78.286
20.330,78.242
20.340,78.264
20.350,78.211
20.360,78.192
20.370,78.074
20.380,78.062
20.390,77.970
20.400,77.876
20.410,77.780
20.420,77.669
20.430,77.513
20.440,77.404
20.450,77.286
20.460,77.186
20.470,77.025
20.480,76.952
20.490,76.827
20.500,76.698
20.510,76.555
20.520,76.499
20.530,76.439
20.540,76.271
20.550,76.201
20.560,76.127
20.570,76.013
20.580,76.030
20.590,75.884
20.600,75.826
20.610,75.745
20.620,75.707
20.630,75.658
20.640,75.590
20.650,75.525
20.660,75.466
20.670,75.485
20.680,75.288
20.690,75.196
20.700,75.252
20.710,75.123
20.720,75.108
20.730,74.961
20.740,74.936
20.750,74.890
20.760,74.758
20.770,74.723
20.780,74.746
20.790,74.601
20.800,74.540
20.810,74.635
20.820,74.384
20.830,74.426
20.840,74.466
20.850,74.407
20.860,74.411
20.870,74.405
20.880,74.582
20.890,74.632
20.900,74.849
20.910,74.996
20.920,75.052
20.930,75.057
20.940,75.188
20.950,75.248
20.960,75.136
20.970,75.068
20.980,74.955
20.990,74.634
21.000,74.433
21.010,74.106
21.020,73.928
21.030,73.712
21.040,73.521
21.050,73.251
21.060,73.055
21.070,73.024
21.080,73.000
21.090,72.823
21.100,72.813
21.110,72.763
21.120,72.692
21.130,72.743
21.140,72.708
21.150,72.703
21.160,72.577
21.170,72.576
21.180,72.519
21.190,72.413
21.200,72.488
21.210,72.379
21.220,72.264
21.230,72.236
21.240,72.206
21.250,72.131
21.260,71.905
21.270,71.904
21.280,71.763
21.290,71.672
21.300,71.619
21.310,71.404
21.320,71.344
21.330,71.128
21.340,71.156
21.350,71.113
21.360,71.018
21.370,70.946
21.380,70.817
21.390,70.778
21.400,70.678
21.410,70.659
21.420,70.606
21.430,70.577
21.440,70.350
21.450,70.389
21.460,70.350
21.470,70.167
21.480,70.096
21.490,70.048
21.500,70.044
21.510,69.921
21.520,69.836
21.530,69.814
21.540,69.720
21.550,69.701
21.560,69.660
21.570,69.567
21.580,69.478
21.590,69.366
21.600,69.386
21.610,69.362
21.620,69.311
21.630,69.173
21.640,69.130
21.650,68.958
21.660,68.883
21.670,69.022
21.680,68.898
21.690,68.881
21.700,68.961
21.710,68.946
21.720,68.943
21.730,68.890
21.740,69.028
21.750,69.151
21.760,69.114
21.770,69.132
21.780,69.107
21.790,69.083
21.800,69.102
21.810,68.960
21.820,68.686
21.830,68.522
21.840,68.425
21.850,68.223
21.860,68.089
21.870,67.917
21.880,67.733
21.890,67.567
21.900,67.507
21.910,67.462
21.920,67.340
21.930,67.270
21.940,67.306
21.950,67.168
21.960,67.244
21.970,67.186
21.980,67.082
21.990,67.043
22.000,67.054
22.010,67.020
22.020,66.855
22.030,66.856
22.040,66.728
22.050,66.621
22.060,66.662
22.070,66.505
22.080,66.529
22.090,66.438
22.100,66.238
22.110,66.230
22.120,66.130
22.130,66.023
22.140,65.963
22.150,65.771
22.160,65.818
22.170,65.649
22.180,65.672
22.190,65.472
22.200,65.446
22.210,65.364
22.220,65.362
22.230,65.265
22.240,65.137
22.250,65.129
22.260,65.073
22.270,65.011
22.280,64.968
22.290,64.864
22.300,64.771
22.310,64.667
22.320,64.718
22.330,64.578
22.340,64.490
22.350,64.476
22.360,64.318
22.370,64.315
22.380,64.311
22.390,64.199
22.400,64.121
22.410,64.107
22.420,63.966
22.430,63.961
22.440,63.901
22.450,63.865
22.460,63.781
22.470,63.561
22.480,63.544
22.490,63.584
22.500,63.488
22.510,63.444
22.520,63.421
22.530,63.406
22.540,63.315
22.550,63.340
22.560,63.296
22.570,63.280
22.580,63.233
22.590,63.256
22.600,63.166
22.610,63.151
22.620,63.072
22.630,63.091
22.640,62.920
22.650,62.817
22.660,62.718
22.670,62.684
22.680,62.482
22.690,62.372
22.700,62.327
22.710,62.135
22.720,62.095
22.730,62.029
22.740,61.868
22.750,61.879
22.760,61.746
22.770,61.749
22.780,61.706
22.790,61.620
22.800,61.483
22.810,61.494
22.820,61.394
22.830,61.345
22.840,61.412
22.850,61.294
22.860,61.212
22.870,61.116
22.880,61.119
22.890,61.083
22.900,60.842
22.910,60.778
22.920,60.755
22.930,60.646
22.940,60.598
22.950,60.523
22.960,60.529
22.970,60.424
22.980,60.291
22.990,60.275
23.000,60.242
23.010,60.136
23.020,60.033
23.030,59.920
23.040,59.875
23.050,59.844
23.060,59.705
23.070,59.625
23.080,59.553
23.090,59.577
23.100,59.404
23.110,59.455
23.120,59.325
23.130,59.334
23.140,59.184
23.150,59.137
23.160,59.068
23.170,59.011
23.180,58.967
23.190,58.896
23.200,58.792
23.210,58.718
23.220,58.671
23.230,58.726
23.240,58.519
23.250,58.503
23.260,58.402
23.270,58.295
23.280,58.259
23.290,58.352
23.300,58.214
23.310,58.106
23.320,58.010
23.330,58.031
23.340,57.893
23.350,57.823
23.360,57.730
23.370,57.652
23.380,57.689
23.390,57.639
23.400,57.579
23.410,57.486
23.420,57.547
23.430,57.453
23.440,57.446
23.450,57.375
23.460,57.287
23.470,57.240
23.480,57.068
23.490,57.032
23.500,56.962
23.510,56.901
23.520,56.746
23.530,56.775
23.540,56.681
23.550,56.611
23.560,56.332
23.570,56.399
23.580,56.300
23.590,56.234
23.600,56.110
23.610,56.109
23.620,56.052
23.630,55.998
23.640,55.894
23.650,55.919
23.660,55.715
23.670,55.769
23.680,55.648
23.690,55.605
23.700,55.469
23.710,55.457
23.720,55.400
23.730,55.395
23.740,55.264
23.750,55.257
23.760,55.041
23.770,55.007
23.780,54.992
23.790,54.959
23.800,54.753
23.810,54.782
23.820,54.711
23.830,54.494
23.840,54.558
23.850,54.541
23.860,54.380
23.870,54.272
23.880,54.273
23.890,54.228
23.900,54.077
23.910,54.078
23.920,53.928
23.930,53.999
23.940,53.851
23.950,53.719
23.960,53.766
23.970,53.646
23.980,53.624
23.990,53.564
24.000,53.432
24.010,53.373
24.020,53.281
24.030,53.224
24.040,53.238
24.050,53.066
24.060,53.158
24.070,52.969
24.080,52.910
24.090,52.904
24.100,52.729
24.110,52.697
24.120,52.586
24.130,52.557
24.140,52.574
24.150,52.533
24.160,52.478
24.170,52.374
24.180,52.202
24.190,52.141
24.200,52.121
24.210,52.062
24.220,52.001
24.230,51.938
24.240,51.878
24.250,51.901
24.260,51.769
24.270,51.691
24.280,51.686
24.290,51.580
24.300,51.552
24.310,51.491
24.320,51.397
24.330,51.278
24.340,51.199
24.350,51.127
24.360,51.088
24.370,51.114
24.380,50.875
24.390,50.727
24.400,50.871
24.410,50.649
24.420,50.629
24.430,50.538
24.440,50.517
24.450,50.396
24.460,50.423
24.470,50.272
24.480,50.360
24.490,50.166
24.500,50.137
24.510,50.052
24.520,49.963
24.530,49.861
24.540,49.852
24.550,49.772
24.560,49.715
24.570,49.677
24.580,49.614
24.590,49.539
24.600,49.512
24.610,49.378
24.620,49.313
24.630,49.263
24.640,49.189
24.650,49.124
24.660,48.950
24.670,48.983
24.680,48.925
24.690,48.834
24.700,48.717
24.710,48.674
24.720,48.618
24.730,48.549
24.740,48.522
24.750,48.352
24.760,48.346
24.770,48.298
24.780,48.260
24.790,48.096
24.800,48.124
24.810,47.983
24.820,47.913
24.830,47.908
24.840,47.909
24.850,47.763
24.860,47.659
24.870,47.581
24.880,47.499
24.890,47.388
24.900,47.342
24.910,47.266
24.920,47.350
24.930,47.275
24.940,47.094
24.950,47.015
24.960,47.070
24.970,46.966
24.980,46.869
24.990,46.828
25.000,46.686
25.010,46.697
25.020,46.654
25.030,46.501
25.040,46.408
25.050,46.396
25.060,46.387
25.070,46.270
25.080,46.181
25.090,46.138
25.100,46.007
25.110,46.041
25.120,45.920
25.130,45.824
25.140,45.782
25.150,45.769
25.160,45.760
25.170,45.629
25.180,45.636
25.190,45.405
25.200,45.374
25.210,45.317
25.220,45.239
25.230,45.205
25.240,45.054
25.250,45.090
25.260,45.001
25.270,44.937
25.280,44.825
25.290,44.745
25.300,44.707
25.310,44.615
25.320,44.572
25.330,44.565
25.340,44.496
25.350,44.367
25.360,44.278
25.370,44.159
25.380,44.170
25.390,44.168
25.400,44.088
25.410,43.976
25.420,43.896
25.430,43.858
25.440,43.732
25.450,43.616
25.460,43.567
25.470,43.579
25.480,43.519
25.490,43.410
25.500,43.301
25.510,43.264
25.520,43.164
25.530,43.145
25.540,43.114
25.550,43.124
25.560,42.971
25.570,42.989
25.580,42.927
25.590,42.783
25.600,42.701
25.610,42.639
25.620,42.563
25.630,42.421
25.640,42.442
25.650,42.373
25.660,42.265
25.670,42.287
25.680,42.100
25.690,42.043
25.700,42.030
25.710,41.908
25.720,41.866
25.730,41.818
25.740,41.715
25.750,41.644
25.760,41.600
25.770,41.522
25.780,41.426
25.790,41.441
25.800,41.386
25.810,41.240
25.820,41.236
25.830,41.229
25.840,40.984
25.850,40.959
25.860,40.832
25.870,40.881
25.880,40.749
25.890,40.789
25.900,40.702
25.910,40.635
25.920,40.522
25.930,40.622
25.940,40.436
25.950,40.382
25.960,40.195
25.970,40.296
25.980,40.145
25.990,40.070
26.000,39.923
26.010,39.985
26.020,39.960
26.030,39.973
26.040,39.967
26.050,39.948
26.060,40.043
26.070,39.916
26.080,39.992
26.090,39.942
26.100,39.968
26.110,39.929
26.120,39.976
26.130,39.998
26.140,39.965
26.150,39.940
26.160,39.921
26.170,39.933
26.180,39.986
26.190,39.871
26.200,39.953
26.210,39.880
26.220,39.888
26.230,39.882
26.240,39.870
26.250,39.873
26.260,39.864
26.270,39.835
26.280,39.764
26.290,39.794
26.300,39.755
26.310,39.811
26.320,39.849
26.330,39.736
26.340,39.708
26.350,39.715
26.360,39.690
26.370,39.687
26.380,39.652
26.390,39.643
26.400,39.563
26.410,39.727
26.420,39.556
26.430,39.497
26.440,39.533
26.450,39.428
26.460,39.543
26.470,39.514
26.480,39.336
26.490,39.397
26.500,39.342
26.510,39.393
26.520,39.317
26.530,39.232
26.540,39.228
26.550,39.228
26.560,39.239
26.570,39.250
26.580,39.191
26.590,39.155
26.600,39.092
26.610,39.067
26.620,38.986
26.630,38.994
26.640,39.012
26.650,38.970
26.660,38.934
26.670,38.860
26.680,38.855
26.690,38.819
26.700,38.791
26.710,38.927
26.720,38.756
26.730,38.661
26.740,38.705
26.750,38.602
26.760,38.543
26.770,38.466
26.780,38.586
26.790,38.435
26.800,38.317
26.810,38.294
26.820,38.411
26.830,38.189
26.840,38.309
26.850,38.224
26.860,38.091
26.870,38.172
26.880,38.100
26.890,37.990
26.900,37.942
26.910,37.899
26.920,37.943
26.930,37.819
26.940,37.762
26.950,37.706
26.960,37.652
26.970,37.701
26.980,37.636
26.990,37.556
27.000,37.542
27.010,37.388
27.020,37.301
27.030,37.256
27.040,37.335
27.050,37.228
27.060,37.258
27.070,37.143
27.080,37.059
27.090,37.089
27.100,37.020
27.110,36.963
27.120,36.833
27.130,36.805
27.140,36.825
27.150,36.733
27.160,36.607
27.170,36.590
27.180,36.567
27.190,36.451
27.200,36.416
27.210,36.275
27.220,36.275
27.230,36.154
27.240,36.187
27.250,35.997
27.260,36.021
27.270,35.928
27.280,35.806
27.290,35.816
27.300,35.766
27.310,35.719
27.320,35.647
27.330,35.633
27.340,35.560
27.350,35.475
27.360,35.377
27.370,35.399
27.380,35.257
27.390,35.343
27.400,35.089
27.410,35.084
27.420,34.930
27.430,34.873
27.440,34.769
27.450,34.754
27.460,34.684
27.470,34.536
27.480,34.619
27.490,34.428
27.500,34.374
27.510,34.347
27.520,34.179
27.530,34.175
27.540,34.022
27.550,33.967
27.560,33.874
27.570,33.823
27.580,33.820
27.590,33.680
27.600,33.575
27.610,33.500
27.620,33.472
27.630,33.443
27.640,33.320
27.650,33.218
27.660,33.075
27.670,33.015
27.680,32.923
27.690,32.815
27.700,32.858
27.710,32.657
27.720,32.586
27.730,32.458
27.740,32.416
27.750,32.427
27.760,32.170
27.770,32.183
27.780,32.063
27.790,31.910
27.800,31.847
27.810,31.894
27.820,31.771
27.830,31.640
27.840,31.475
27.850,31.503
27.860,31.405
27.870,31.340
27.880,31.181
27.890,31.166
27.900,30.993
27.910,30.954
27.920,30.882
27.930,30.748
27.940,30.612
27.950,30.549
27.960,30.326
27.970,30.172
27.980,30.145
27.990,30.137
28.000,29.973
28.010,29.866
28.020,29.851
28.030,29.756
28.040,29.715
28.050,29.471
28.060,29.339
28.070,29.308
28.080,29.187
28.090,29.103
28.100,28.956
28.110,28.899
28.120,28.706
28.130,28.660
28.140,28.525
28.150,28.460
28.160,28.315
28.170,28.325
28.180,28.057
28.190,27.981
28.200,28.011
28.210,27.749
28.220,27.717
28.230,27.503
28.240,27.440
28.250,27.304
28.260,27.158
28.270,27.143
28.280,27.052
28.290,26.912
28.300,26.791
28.310,26.668
28.320,26.580
28.330,26.388
28.340,26.275
28.350,26.109
28.360,26.153
28.370,25.951
28.380,25.788
28.390,25.715
28.400,25.631
28.410,25.443
28.420,25.358
28.430,25.302
28.440,25.105
28.450,24.941
28.460,24.831
28.470,24.646
28.480,24.636
28.490,24.428
28.500,24.340
28.510,24.310
28.520,24.084
28.530,24.013
28.540,23.889
28.550,23.572
28.560,23.628
28.570,23.491
28.580,23.393
28.590,23.316
28.600,23.018
28.610,22.945
28.620,22.859
28.630,22.652
28.640,22.628
28.650,22.376
28.660,22.321
28.670,22.176
28.680,21.976
28.690,21.934
28.700,21.838
28.710,21.682
28.720,21.508
28.730,21.335
28.740,21.205
28.750,21.131
28.760,20.938
28.770,20.868
28.780,20.634
28.790,20.483
28.800,20.440
28.810,20.233
28.820,20.162
28.830,20.033
28.840,19.858
28.850,19.735
28.860,19.574
28.870,19.394
28.880,19.315
28.890,19.159
28.900,19.055
28.910,18.696
28.920,18.674
28.930,18.463
28.940,18.407
28.950,18.227
28.960,18.070
28.970,17.956
28.980,17.809
28.990,17.584
29.000,17.542
29.010,17.458
29.020,17.139
29.030,17.088
29.040,16.930
29.050,16.773
29.060,16.671
29.070,16.455
29.080,16.259
29.090,16.175
29.100,15.977
29.110,15.802
29.120,15.649
29.130,15.473
29.140,15.365
29.150,15.168
29.160,15.051
29.170,14.752
29.180,14.801
29.190,14.582
29.200,14.403
29.210,14.184
29.220,14.078
29.230,13.919
29.240,13.719
29.250,13.516
29.260,13.355
29.270,13.271
29.280,13.190
29.290,12.966
29.300,12.785
29.310,12.683
29.320,12.402
29.330,12.203
29.340,12.114
29.350,11.930
29.360,11.778
29.370,11.543
29.380,11.494
29.390,11.312
29.400,11.097
29.410,10.956
29.420,10.659
29.430,10.569
29.440,10.387
29.450,10.239
29.460,10.070
29.470,9.904
29.480,9.715
29.490,9.522
29.500,9.315
29.510,9.279
29.520,9.012
29.530,8.901
29.540,8.647
29.550,8.543
29.560,8.269
29.570,8.103
29.580,8.044
29.590,7.772
29.600,7.572
29.610,7.412
29.620,7.293
29.630,7.100
29.640,6.908
29.650,6.627
29.660,6.505
29.670,6.276
29.680,6.123
29.690,6.005
29.700,5.740
29.710,5.515
29.720,5.351
29.730,5.216
29.740,5.019
29.750,4.899
29.760,4.568
29.770,4.380
29.780,4.291
29.790,4.100
29.800,3.926
29.810,3.743
29.820,3.469
29.830,3.353
29.840,3.283
29.850,2.972
29.860,2.739
29.870,2.517
29.880,2.351
29.890,2.268
29.900,1.959
29.910,1.884
29.920,1.557
29.930,1.448
29.940,1.195
29.950,1.024
29.960,0.789
29.970,0.543
29.980,0.390
29.990,0.307
